Epoch: 42, time: 49399.8342, loss_D_vx: 659.3179, loss_D_x: -647.4368, loss_G_xvz: 3798.9232, loss_G_vzx: 369.0670
Epoch: 43, time: 50533.7707, loss_D_vx: 639.9534, loss_D_x: -658.6895, loss_G_xvz: 3707.0554, loss_G_vzx: 312.0158
Epoch: 44, time: 51672.7847, loss_D_vx: 610.7705, loss_D_x: -662.9198, loss_G_xvz: 4071.6327, loss_G_vzx: 750.4726
Epoch: 45, time: 52806.3241, loss_D_vx: 589.2717, loss_D_x: -682.1512, loss_G_xvz: 4020.5040, loss_G_vzx: 625.5596
Epoch: 46, time: 53940.0779, loss_D_vx: 566.4827, loss_D_x: -728.5052, loss_G_xvz: 4041.3458, loss_G_vzx: 672.5774
Epoch: 47, time: 55072.4276, loss_D_vx: 532.4189, loss_D_x: -732.3298, loss_G_xvz: 4089.7233, loss_G_vzx: 746.2498
Epoch: 48, time: 56203.6426, loss_D_vx: 518.1279, loss_D_x: -754.2001, loss_G_xvz: 4209.0268, loss_G_vzx: 920.4432
Epoch: 49, time: 57335.2795, loss_D_vx: 491.1225, loss_D_x: -777.3544, loss_G_xvz: 4436.7740, loss_G_vzx: 1167.1169
Epoch: 50, time: 58468.0800, loss_D_vx: 472.5786, loss_D_x: -806.9793, loss_G_xvz: 4557.2172, loss_G_vzx: 1282.7539
Epoch: 51, time: 59599.8926, loss_D_vx: 445.4364, loss_D_x: -876.0066, loss_G_xvz: 4433.6214, loss_G_vzx: 1107.5618
Epoch: 52, time: 60730.9069, loss_D_vx: 386.8638, loss_D_x: -836.7775, loss_G_xvz: 4320.5498, loss_G_vzx: 1058.1608
Epoch: 53, time: 61862.8820, loss_D_vx: 368.3715, loss_D_x: -867.4465, loss_G_xvz: 4602.2679, loss_G_vzx: 1376.3646
Epoch: 54, time: 62995.5610, loss_D_vx: 337.4941, loss_D_x: -928.4652, loss_G_xvz: 4456.0983, loss_G_vzx: 1222.7512
Epoch: 55, time: 64129.5281, loss_D_vx: 294.8714, loss_D_x: -931.7340, loss_G_xvz: 4582.5267, loss_G_vzx: 1383.4698
Epoch: 56, time: 65261.8142, loss_D_vx: 247.1212, loss_D_x: -973.8848, loss_G_xvz: 4560.4550, loss_G_vzx: 1344.8657
Epoch: 57, time: 66393.8035, loss_D_vx: 225.6183, loss_D_x: -1014.6666, loss_G_xvz: 4550.8413, loss_G_vzx: 1342.7826
Epoch: 58, time: 67526.0975, loss_D_vx: 193.3711, loss_D_x: -1058.8400, loss_G_xvz: 4623.4522, loss_G_vzx: 1451.6283
Epoch: 59, time: 68660.2412, loss_D_vx: 134.3590, loss_D_x: -1083.5745, loss_G_xvz: 4486.9985, loss_G_vzx: 1331.1775
Epoch: 60, time: 69794.0370, loss_D_vx: 98.4999, loss_D_x: -1121.6487, loss_G_xvz: 4585.7923, loss_G_vzx: 1454.0975
Epoch: 61, time: 70935.8527, loss_D_vx: 32.0450, loss_D_x: -1155.0714, loss_G_xvz: 4610.2459, loss_G_vzx: 1475.9710
Epoch: 62, time: 72073.1565, loss_D_vx: 3.3143, loss_D_x: -1207.8752, loss_G_xvz: 4512.6926, loss_G_vzx: 1372.6172
Epoch: 63, time: 73206.9991, loss_D_vx: -53.6071, loss_D_x: -1225.0582, loss_G_xvz: 4505.5336, loss_G_vzx: 1413.3526
Epoch: 64, time: 74344.7891, loss_D_vx: -96.6868, loss_D_x: -1237.4816, loss_G_xvz: 4573.9519, loss_G_vzx: 1537.0200
Epoch: 65, time: 75478.7675, loss_D_vx: -143.1261, loss_D_x: -1315.3909, loss_G_xvz: 4726.5758, loss_G_vzx: 1674.2700
Epoch: 66, time: 76613.1530, loss_D_vx: -177.4202, loss_D_x: -1374.5282, loss_G_xvz: 4739.3783, loss_G_vzx: 1681.3955
Epoch: 67, time: 77747.8336, loss_D_vx: -226.5044, loss_D_x: -1396.8489, loss_G_xvz: 4540.5117, loss_G_vzx: 1512.6180
Epoch: 68, time: 78881.7699, loss_D_vx: -281.3542, loss_D_x: -1403.1195, loss_G_xvz: 4474.3339, loss_G_vzx: 1500.9729
Epoch: 69, time: 80016.5013, loss_D_vx: -322.3293, loss_D_x: -1435.9587, loss_G_xvz: 4381.4326, loss_G_vzx: 1458.7460
Epoch: 70, time: 81152.4687, loss_D_vx: -364.1201, loss_D_x: -1495.0290, loss_G_xvz: 4441.7248, loss_G_vzx: 1476.9648
Epoch: 71, time: 82300.8600, loss_D_vx: -413.1961, loss_D_x: -1516.7334, loss_G_xvz: 4333.8256, loss_G_vzx: 1412.3942
Epoch: 72, time: 83435.3147, loss_D_vx: -468.5728, loss_D_x: -1536.8293, loss_G_xvz: 4231.2414, loss_G_vzx: 1328.7583
Epoch: 73, time: 84569.7670, loss_D_vx: -505.7453, loss_D_x: -1568.5095, loss_G_xvz: 4284.7985, loss_G_vzx: 1402.5685
Epoch: 74, time: 85704.7427, loss_D_vx: -577.8004, loss_D_x: -1583.6916, loss_G_xvz: 4238.5503, loss_G_vzx: 1427.6481
Epoch: 75, time: 86839.2114, loss_D_vx: -616.9339, loss_D_x: -1625.8215, loss_G_xvz: 4257.8664, loss_G_vzx: 1469.1288
Epoch: 76, time: 87994.0131, loss_D_vx: -668.5746, loss_D_x: -1670.5727, loss_G_xvz: 4245.5431, loss_G_vzx: 1455.5795
Epoch: 77, time: 89131.7191, loss_D_vx: -1043.8581, loss_D_x: -2040.3002, loss_G_xvz: 4015.7923, loss_G_vzx: 1268.0854
Epoch: 78, time: 90266.8567, loss_D_vx: -1402.7090, loss_D_x: -2317.8473, loss_G_xvz: 3606.0719, loss_G_vzx: 973.8130
Epoch: 79, time: 91401.7721, loss_D_vx: -1259.7937, loss_D_x: -2128.3718, loss_G_xvz: 3790.7104, loss_G_vzx: 1154.1716
Epoch: 80, time: 92537.3051, loss_D_vx: -1322.3234, loss_D_x: -2222.5555, loss_G_xvz: 3826.5221, loss_G_vzx: 1161.3596
Epoch: 81, time: 93671.9260, loss_D_vx: -911.0918, loss_D_x: -1779.7705, loss_G_xvz: 4010.5618, loss_G_vzx: 1352.7984
Epoch: 82, time: 94806.2543, loss_D_vx: -1348.4784, loss_D_x: -2175.8725, loss_G_xvz: 3694.7396, loss_G_vzx: 1121.3628
Epoch: 83, time: 95940.1178, loss_D_vx: -1606.7379, loss_D_x: -2433.6742, loss_G_xvz: 3735.6026, loss_G_vzx: 1186.2458
Epoch: 84, time: 97073.8240, loss_D_vx: -1376.6647, loss_D_x: -2178.1678, loss_G_xvz: 3926.3432, loss_G_vzx: 1372.4292
